id,Name,d bore,D outside,B,dynamic (kN),static (kN),Reference speed (r/min),Limiting speed (r/min)
1191,62214-2RS1,70,125,31,60.5,45,None,3400
1192,62314-2RS1,70,150,51,104,68,None,3000
1193,6314,70,150,35,111,68,9500,6300
1194,6314 N,70,150,35,111,68,9500,6300
1195,6314 NR,70,150,35,111,68,9500,6300
1196,6314-2RS1,70,150,35,111,68,None,3000
1197,6314-2Z,70,150,35,111,68,9500,5000
1198,6314-RS1,70,150,35,111,68,None,3000
1199,6314-Z,70,150,35,111,68,9500,6300
1200,6314-ZNR,70,150,35,111,68,9500,6300
1201,6414,70,180,42,143,104,8500,5300
1202,16015,75,115,13,30.2,27,12000,7500
1203,215,75,130,25,72.1,72,9000,5300
1204,215 NR,75,130,25,72.1,72,9000,5300
1205,215-2Z,75,130,25,72.1,72,9000,4300
1206,215-Z,75,130,25,72.1,72,9000,5300
1207,215-ZNR,75,130,25,72.1,72,9000,5300
1208,4215 ATN9,75,130,31,72.8,80,7500,4000
1209,6015,75,115,20,41.6,33.5,12000,7500
1210,6015 M,75,115,20,41.6,33.5,12000,10000
1211,6015 N,75,115,20,41.6,33.5,12000,7500
1212,6015 NR,75,115,20,41.6,33.5,12000,7500
1213,6015-2RS1,75,115,20,41.6,33.5,None,3400
1214,6015-2Z,75,115,20,41.6,33.5,12000,6000
1215,6015-RS1,75,115,20,41.6,33.5,None,3400
1216,6015-Z,75,115,20,41.6,33.5,12000,7500
1217,61815,75,95,10,12.5,10.8,14000,8500
1218,61815-2RS1,75,95,10,12.5,10.8,None,4000
1219,61815-2RZ,75,95,10,12.5,10.8,14000,7000
1220,61915,75,105,16,24.2,19.3,13000,8000
1221,6215,75,130,25,68.9,49,10000,6700
1222,6215 M,75,130,25,68.9,49,10000,9500
1223,6215 N,75,130,25,68.9,49,10000,6700
1224,6215 NR,75,130,25,68.9,49,10000,6700
1225,6215-2RS1,75,130,25,68.9,49,None,3200
1226,6215-2Z,75,130,25,68.9,49,10000,5300
1227,6215-RS1,75,130,25,68.9,49,None,3200
1228,6215-Z,75,130,25,68.9,49,10000,6700
1229,6315,75,160,37,119,76.5,9000,5600
1230,6315 N,75,160,37,119,76.5,9000,5600
1231,6315 NR,75,160,37,119,76.5,9000,5600
1232,6315-2RS1,75,160,37,119,76.5,None,2800
1233,6315-2Z,75,160,37,119,76.5,9000,4500
1234,6315-Z,75,160,37,119,76.5,9000,5600
1235,6415,75,190,45,153,114,8000,5000
1236,16016,80,125,14,35.1,31.5,11000,7000
1237,216,80,140,26,88,85,8500,5000
1238,216 NR,80,140,26,88,85,8500,5000
1239,216-2Z,80,140,26,88,85,8500,4000
1240,216-2ZNR,80,140,26,88,85,8500,4000
1241,216-Z,80,140,26,88,85,8500,5000
1242,216-ZNR,80,140,26,88,85,8500,5000
1243,4216 ATN9,80,140,33,80.6,90,7000,3800
1244,6016,80,125,22,49.4,40,11000,7000
1245,6016 NR,80,125,22,49.4,40,11000,7000
1246,6016-2RS1,80,125,22,49.4,40,None,3200
1247,6016-2Z,80,125,22,49.4,40,11000,5600
1248,6016-RS1,80,125,22,49.4,40,None,3200
1249,6016-Z,80,125,22,49.4,40,11000,7000
1250,61816,80,100,10,12.7,11.2,13000,8000
1251,61816-2RS1,80,100,10,12.7,11.2,None,3600
1252,61816-2RZ,80,100,10,12.7,11.2,13000,6300
1253,61916,80,110,16,25.1,20.4,12000,7500
1254,61916-2RS1,80,110,16,25.1,20.4,None,3400
1255,61916-2RZ,80,110,16,25.1,20.4,12000,6000
1256,6216,80,140,26,72.8,55,9500,6000
1257,6216 M,80,140,26,72.8,55,9500,8500
1258,6216 NR,80,140,26,72.8,55,9500,6000
1259,6216-2RS1,80,140,26,72.8,55,None,3000
1260,6216-2Z,80,140,26,72.8,55,9500,4800
1261,6216-RS1,80,140,26,72.8,55,None,3000
1262,6216-Z,80,140,26,72.8,55,9500,6000
1263,6316,80,170,39,130,86.5,8500,5300
1264,6316 M,80,170,39,130,86.5,8500,7500
1265,6316-2RS1,80,170,39,130,86.5,None,2600
1266,6316-2Z,80,170,39,130,86.5,8500,4300
1267,6316-RS1,80,170,39,130,86.5,None,2600
1268,6316-Z,80,170,39,130,86.5,8500,5300
1269,6416,80,200,48,163,125,7500,4800
1270,16017,85,130,14,35.8,33.5,11000,6700
1271,217,85,150,28,96.8,100,7500,4800
1272,217 NR,85,150,28,96.8,100,7500,4800
1273,217-2Z,85,150,28,96.8,100,7500,3900
1274,217-Z,85,150,28,96.8,100,7500,4800
1275,6017,85,130,22,52,43,11000,6700
1276,6017 NR,85,130,22,52,43,11000,6700
1277,6017-2RS1,85,130,22,52,43,None,3000
1278,6017-2Z,85,130,22,52,43,11000,5300
1279,6017-RS1,85,130,22,52,43,None,3000
1280,6017-Z,85,130,22,52,43,11000,6700
1281,61817,85,110,13,19.5,16.6,12000,7500
1282,61817-2RS1,85,110,13,19.5,16.6,None,3400
1283,61817-2RZ,85,110,13,19.5,16.6,12000,6000
1284,61917,85,120,18,31.9,30,11000,7000
1285,6217,85,150,28,87.1,64,9000,5600
1286,6217 M,85,150,28,87.1,64,9000,8000
1287,6217 NR,85,150,28,87.1,64,9000,5600
1288,6217-2RS1,85,150,28,87.1,64,None,2800
1289,6217-2Z,85,150,28,87.1,64,9000,4500
1290,6217-RS1,85,150,28,87.1,64,None,2800
1291,6217-Z,85,150,28,87.1,64,9000,5600
1292,6317,85,180,41,140,96.5,8000,5000
1293,6317 M,85,180,41,140,96.5,8000,7500
1294,6317-2RS1,85,180,41,140,96.5,None,2400
1295,6317-2Z,85,180,41,140,96.5,8000,4000
1296,6317-Z,85,180,41,140,96.5,8000,5000
1297,6417,85,210,52,174,137,7000,4500
1298,16018,90,140,16,43.6,39,10000,6300
1299,4218 ATN9,90,160,40,112,122,6300,3400
1300,6018,90,140,24,60.5,50,10000,6300
1301,6018 NR,90,140,24,60.5,50,10000,6300
1302,6018-2RS1,90,140,24,60.5,50,None,2800
1303,6018-2Z,90,140,24,60.5,50,10000,5000
1304,6018-Z,90,140,24,60.5,50,10000,6300
1305,61818,90,115,13,19.5,17,11000,7000
1306,61818-2RS1,90,115,13,19.5,17,None,3200
1307,61818-2RZ,90,115,13,19.5,17,11000,5600
1308,61918,90,125,18,33.2,31.5,11000,6700
1309,6218,90,160,30,101,73.5,8500,5300
1310,6218 NR,90,160,30,101,73.5,8500,5300
1311,6218-2RS1,90,160,30,101,73.5,None,2600
1312,6218-2Z,90,160,30,101,73.5,8500,4300
1313,6218-RS1,90,160,30,101,73.5,None,2600
1314,6218-Z,90,160,30,101,73.5,8500,5300
1315,6318,90,190,43,151,108,7500,4800
1316,6318 M,90,190,43,151,108,7500,7000
1317,6318-2RS1,90,190,43,151,108,None,2400
1318,6318-2Z,90,190,43,151,108,7500,3800
1319,6318-Z,90,190,43,151,108,7500,4800
1320,6418,90,225,54,186,150,6700,4300
1321,16019,95,145,16,44.9,41.5,9500,6000
1322,6019-2RS1,95,145,24,63.7,54,None,2800
1323,6019-2Z,95,145,24,63.7,54,9500,4800
1324,6019-Z,95,145,24,63.7,54,9500,6000
1325,61819,95,120,13,19.9,17.6,11000,6700
1326,61819-2RS1,95,120,13,19.9,17.6,None,3000
1327,6219,95,170,32,114,81.5,8000,5000
1328,6219-2RS1,95,170,32,114,81.5,None,2400
1329,6219-2Z,95,170,32,114,81.5,8000,4000
1330,6219-RS1,95,170,32,114,81.5,None,2400
1331,6219-Z,95,170,32,114,81.5,8000,5000
1332,6319,95,200,45,159,118,7000,4500
1333,6319 M,95,200,45,159,118,7000,6300
1334,6319-2RS1,95,200,45,159,118,None,2200
1335,6319-2Z,95,200,45,159,118,7000,3600
1336,6319-Z,95,200,45,159,118,7000,4500
1337,16020,100,150,16,46.2,44,9500,5600
1338,6020,100,150,24,63.7,54,9500,5600
1339,6020 M,100,150,24,63.7,54,9500,7500
1340,6020 N,100,150,24,63.7,54,9500,5600
1341,6020 NR,100,150,24,63.7,54,9500,5600
1342,6020-2RS1,100,150,24,63.7,54,None,2600
1343,6020-2Z,100,150,24,63.7,54,9500,4500
1344,6020-RS1,100,150,24,63.7,54,None,2600
1345,6020-Z,100,150,24,63.7,54,9500,5600
1346,61820,100,125,13,17.8,18.3,10000,6300
1347,61820-2RS1,100,125,13,17.8,18.3,None,3000
1348,61820-2RZ,100,125,13,17.8,18.3,10000,5300
1349,6220,100,180,34,127,93,7500,4800
1350,6220-2RS1,100,180,34,127,93,None,2400
1351,6220-2Z,100,180,34,127,93,7500,3800
1352,6220-RS1,100,180,34,127,93,None,2400
1353,6220-Z,100,180,34,127,93,7500,4800
1354,6320,100,215,47,174,140,6700,4300
1355,6320 M,100,215,47,174,140,6700,6000
1356,6320-2RS1,100,215,47,174,140,None,2000
1357,6320-2Z,100,215,47,174,140,6700,3400
1358,6320-Z,100,215,47,174,140,6700,4300
1359,16021,105,160,18,54,51,8500,5300
1360,6021,105,160,26,76.1,65.5,8500,5300
1361,6021 NR,105,160,26,76.1,65.5,8500,5300
1362,6021-2RS1,105,160,26,76.1,65.5,None,2400
1363,6021-2Z,105,160,26,76.1,65.5,8500,4300
1364,61821,105,130,13,20.8,19.6,10000,6300
1365,61821-2RS1,105,130,13,20.8,19.6,None,2800
1366,61821-2RZ,105,130,13,20.8,19.6,10000,5000
1367,6221,105,190,36,140,104,7000,4500
1368,6221-2Z,105,190,36,140,104,7000,3600
1369,6321,105,225,49,182,153,6300,4000
1370,16022,110,170,19,60.5,57,8000,5000
1371,6022,110,170,28,85.2,73.5,8000,5000
1372,6022 M,110,170,28,85.2,73.5,8000,7000
1373,6022 NR,110,170,28,85.2,73.5,8000,5000
1374,6022-2RS1,110,170,28,85.2,73.5,None,2400
1375,6022-2Z,110,170,28,85.2,73.5,8000,4000
1376,6022-RS1,110,170,28,85.2,73.5,None,2400
1377,6022-Z,110,170,28,85.2,73.5,8000,5000
1378,61822,110,140,16,28.1,26,9500,5600
1379,61822-2RS1,110,140,16,28.1,26,None,2600
1380,61822-2RZ,110,140,16,28.1,26,9500,4500
1381,61922,110,150,20,43.6,45,9000,5600
1382,61922 MA,110,150,20,43.6,45,9000,7500
1383,6222,110,200,38,151,118,6700,4300
1384,6222-2RS1,110,200,38,151,118,None,2000
1385,6222-2Z,110,200,38,151,118,6700,3400
1386,6222-Z,110,200,38,151,118,6700,4300
1387,6322,110,240,50,203,180,6000,3800
1388,6322 M,110,240,50,203,180,6000,5300
1389,16024,120,180,19,63.7,64,7500,4800
1390,6024,120,180,28,88.4,80,7500,4800
1391,6024 NR,120,180,28,88.4,80,7500,4800
1392,6024-2RS1,120,180,28,88.4,80,None,2200
1393,6024-2Z,120,180,28,88.4,80,7500,3800
1394,6024-RS1,120,180,28,88.4,80,None,2200
1395,6024-Z,120,180,28,88.4,80,7500,4800
1396,61824,120,150,16,29.1,28,8500,5300
1397,61824-2RS1,120,150,16,29.1,28,None,2400
1398,61824-2RZ,120,150,16,29.1,28,8500,4300
1399,6224,120,215,40,146,118,6300,4000
1400,6224 M,120,215,40,146,118,6300,5600
1401,6224-2RS1,120,215,40,146,118,None,1900
1402,6324,120,260,55,208,186,5600,3400
1403,6324 M,120,260,55,208,186,5600,5000
1404,6324-2RS1,120,260,55,208,186,None,1700
1405,16026,130,200,22,83.2,81.5,7000,4300
1406,6026,130,200,33,112,100,7000,4300
1407,6026 M,130,200,33,112,100,7000,5600
1408,6026-2RS1,130,200,33,112,100,None,2000
1409,6026-2Z,130,200,33,112,100,7000,3400
1410,6026-Z,130,200,33,112,100,7000,4300
1411,61826,130,165,18,37.7,43,8000,4800
1412,61826-2RS1,130,165,18,37.7,43,None,2200
1413,61826-2RZ,130,165,18,37.7,43,8000,3800
1414,61926,130,180,24,65,67,7500,4500
1415,6226,130,230,40,156,132,5600,3600
1416,6226 M,130,230,40,156,132,5600,5300
1417,6226-2RS1,130,230,40,156,132,None,1800
1418,6226-2Z,130,230,40,156,132,5600,3000
1419,6226-Z,130,230,40,156,132,5600,3600
1420,6326,130,280,58,229,216,5000,3200
1421,6326 M,130,280,58,229,216,5000,4500
1422,RLS 44,139.7,241.3,34.925,156,146,5300,3400
1423,16028,140,210,22,80.6,86.5,6700,4000
1424,6028,140,210,33,111,108,6700,4000
1425,6028 M,140,210,33,111,108,6700,5300
1426,6028-2RS1,140,210,33,111,108,None,1800
1427,6028-2Z,140,210,33,111,108,6700,3200
1428,6028-RS1,140,210,33,111,108,None,1800
1429,61828,140,175,18,39,46.5,7500,4500
1430,61828-2RS1,140,175,18,39,46.5,None,2000
1431,61828-2RZ,140,175,18,39,46.5,7500,3600
1432,61928 MA,140,190,24,66.3,72,7000,5600
1433,6228,140,250,42,165,150,5300,3400
1434,6328,140,300,62,251,245,4800,3000
1435,6328 M,140,300,62,251,245,4800,4300
1436,16030,150,225,24,92.2,98,6000,3800
1437,6030,150,225,35,125,125,6000,3800
1438,6030 M,150,225,35,125,125,6000,5000
1439,6030-2RS1,150,225,35,125,125,None,1700
1440,6030-2Z,150,225,35,125,125,6000,3000
1441,6030-Z,150,225,35,125,125,6000,3800
1442,61830,150,190,20,48.8,61,6700,4300
1443,61830 MA,150,190,20,48.8,61,6700,4300
1444,6230,150,270,45,174,166,5000,3200
1445,6230 M,150,270,45,174,166,5000,4500
1446,6330,150,320,65,276,285,4300,2800
1447,6330 M,150,320,65,276,285,4300,4000
1448,16032,160,240,25,99.5,108,5600,3600
1449,6032,160,240,38,143,143,5600,3600
1450,6032 M,160,240,38,143,143,5600,4800
1451,6032-2RS1,160,240,38,143,143,None,1600
1452,6032-2Z,160,240,38,143,143,5600,2800
1453,61832,160,200,20,49.4,64,6300,4000
1454,61932 MA,160,220,28,92.3,98,6000,5000
1455,6232,160,290,48,186,186,4500,3000
1456,6232 M,160,290,48,186,186,4500,4300
1457,6332,160,340,68,276,285,4000,2600
1458,6332 M,160,340,68,276,285,4000,3800
1459,16034,170,260,28,119,129,5300,3200
1460,6034 M,170,260,42,168,173,5300,4300
1461,61834,170,215,22,61.8,78,6000,3600
1462,6234,170,310,52,212,224,4300,2800
1463,6234 M,170,310,52,212,224,4300,3800
1464,6334,170,360,72,312,340,3800,2400
1465,6334 M,170,360,72,312,340,3800,3400
1466,16036,180,280,31,138,146,4800,3000
1467,6036 M,180,280,46,190,200,4800,4000
1468,61836,180,225,22,62.4,81.5,5600,3400
1469,61936 MA,180,250,33,119,134,5300,4300
1470,6236 M,180,320,52,229,240,4000,3800
1471,6336,180,380,75,351,405,3600,2200
1472,6336 M,180,380,75,351,405,3600,3200
1473,16038,190,290,31,148,166,4800,3000
1474,6038 M,190,290,46,195,216,4800,3800
1475,61838,190,240,24,76.1,98,5300,3200
1476,61938 MA,190,260,33,117,134,5000,4300
1477,6238,190,340,55,255,280,3800,2400
1478,6238 M,190,340,55,255,280,3800,3400
1479,6338 M,190,400,78,371,430,3400,3000
1480,16040,200,310,34,168,190,4300,2800
1481,6040 M,200,310,51,216,245,4300,3600
1482,61840,200,250,24,76.1,102,5000,3200
1483,61940 MA,200,280,38,148,166,4800,3800
1484,6240 M,200,360,58,270,310,3600,3200
1485,16044,220,340,37,174,204,4000,2400
1486,6044 M,220,340,56,247,290,4000,3200
1487,61844,220,270,24,78,110,4500,2800
1488,61944 MA,220,300,38,151,180,4300,3600
1489,6244 M,220,400,65,296,365,3200,3000
1490,6344 M,220,460,88,410,520,3000,2600
1491,16048 MA,240,360,37,203,255,3600,3000
1492,6048 M,240,360,56,255,315,3600,3000
1493,61848,240,300,28,108,150,4000,2600
1494,61948 MA,240,320,38,159,200,4000,3200
1495,6248 M,240,440,72,358,465,3000,2600
1496,6348 M,240,500,95,442,585,2600,2400
1497,16052 MA,260,400,44,238,310,3200,2800
1498,6052 M,260,400,65,291,375,3200,2800
1499,61852,260,320,28,111,163,3800,2400
1500,61952 MA,260,360,46,212,270,3600,3000
1501,6252 M,260,480,80,390,530,2600,2400
1502,16056 MA,280,420,44,242,335,3000,2600
1503,6056,280,420,65,302,405,3000,1900
1504,6056 M,280,420,65,302,405,3000,2600
1505,61856,280,350,33,138,200,3400,2200
1506,61856 MA,280,350,33,138,200,3400,2800
1507,61956 MA,280,380,46,216,285,3200,2800
1508,6256 M,280,500,80,423,600,2600,2200
1509,16060 MA,300,460,50,286,405,2200,1800
1510,6060 M,300,460,74,358,500,2800,2400
1511,61860,300,380,38,172,245,3200,2000
1512,61860 MA,300,380,38,172,245,3200,2600
1513,61960 MA,300,420,56,270,375,3000,2400
1514,6260 M,300,540,85,462,670,2400,2000
1515,16064 MA,320,480,50,281,405,2000,1700
1516,6064 M,320,480,74,371,540,2600,2200
1517,61864 MA,320,400,38,172,255,3000,2400
1518,61964 MA,320,440,56,276,400,2800,2400
1519,306728,330,460,56,281,425,2600,1700
1520,16068 MA,340,520,57,345,520,1900,1500
1521,6068 M,340,520,82,423,640,2400,2000
1522,61868 MA,340,420,38,178,275,2800,2400
1523,61968 M,340,460,56,281,425,2600,2200
1524,61968 MA,340,460,56,281,425,2600,2200
1525,16072 MA,360,540,57,351,550,1800,1400
1526,6072 M,360,540,82,442,695,2400,1900
1527,61872 MA,360,440,38,182,285,2600,2200
1528,61972 MA,360,480,56,291,450,2600,2000
1529,16076 MA,380,560,57,377,620,1700,1400
1530,6076 M,380,560,82,436,695,2200,1800
1531,61876 MA,380,480,46,242,390,2400,2000
1532,61976 MA,380,520,65,338,540,2400,1900
1533,6080 M,400,600,90,520,865,2000,1700
1534,61880 MA,400,500,46,247,405,2400,1900
1535,61980 MA,400,540,65,345,570,2200,1800
1536,6084 M,420,620,90,507,880,2000,1600
1537,61884 MA,420,520,46,251,425,2200,1800
1538,61984 MA,420,560,65,351,600,2200,1800
1539,6088 M,440,650,94,553,965,1900,1500
1540,60888 MA,440,540,31,159,290,2200,1800
1541,61888 MA,440,540,46,255,440,2200,1800
1542,61988 MA,440,600,74,410,720,2000,1600
1543,6092 MB,460,680,100,592,1060,1800,1500
1544,61892 MA,460,580,56,319,570,2000,1600
1545,61992 MA,460,620,74,423,750,1900,1600
1546,6096 MB,480,700,100,618,1140,1700,1400
1547,61896 MA,480,600,56,325,600,1900,1600
1548,61996 MA,480,650,78,449,815,1800,1500
1549,60/500 N1MAS,500,720,100,605,1140,1600,1300
1550,608/500 MA,500,620,37,229,440,1800,1500
1551,618/500 MA,500,620,56,332,620,1800,1500
1552,619/500 MA,500,670,78,462,865,1700,1400
1553,360476 A,530,760,100,585,1120,1500,950
1554,618/530 MA,530,650,56,332,655,1700,1400
1555,619/530 MA,530,710,82,488,930,1600,1300
1556,60/560 N1MAS,560,820,115,663,1370,1400,1200
1557,608/560 MA,560,680,37,229,465,1600,1300
1558,618/560 MA,560,680,56,345,695,1600,1300
1559,619/560 MA,560,750,85,494,980,1500,1200
1560,608/600 MA,600,730,42,265,550,1500,1200
1561,618/600 MA,600,730,60,364,765,1500,1200
1562,619/600 MA,600,800,90,585,1220,1400,1100
1563,60/630 N1MBS,630,920,128,819,1760,1200,1000
1564,608/630 MA,630,780,48,364,765,1400,1100
1565,618/630 MA,630,780,69,442,965,1400,1100
1566,619/630 N1MA,630,850,100,624,1340,1300,1100
1567,306708 D,650,920,118,780,1730,1200,750
1568,60/670 N1MAS,670,980,136,904,2040,1100,900
1569,618/670 MA,670,820,69,442,1000,1300,1100
1570,618/670 TN,670,820,69,436,965,1300,800
1571,619/670 MA,670,900,103,676,1500,1200,1000
1572,306704 C,710,1000,140,832,1900,1100,670
1573,360141,710,1080,160,1040,2400,1000,630
1574,60/710 MA,710,1030,140,956,2200,1000,850
1575,618/710 M,710,870,74,475,1100,1200,1000
1576,618/710 MA,710,870,74,475,1100,1200,1000
1577,618/750 MA,750,920,78,527,1250,1100,900
1578,619/750 MA,750,1000,112,761,1800,1000,850
1579,306474 D,760,1080,150,923,2200,950,600
1580,361844,800,1080,115,819,2040,950,600
1581,60/800 N1MAS,800,1150,155,1010,2550,900,750
1582,608/800 MA,800,980,57,403,1000,1000,850
1583,618/800 MA,800,980,82,559,1370,1000,850
1584,619/800 MA,800,1060,115,832,2040,950,800
1585,306493 AA,850,1220,165,1040,2700,800,500
1586,618/850 MA,850,1030,82,559,1430,950,750
1587,618/900 MA,900,1090,85,618,1600,850,700
1588,618/950 MA,950,1150,90,637,1730,800,670
1589,618/1000 MA,1000,1220,100,637,1800,750,600
1590,60/1060 MB,1060,1500,195,1530,4500,600,500
1591,618/1060 MA,1060,1280,100,728,2120,670,560
1592,618/1060 TN,1060,1280,100,728,2120,670,430
1593,618/1120 MA,1120,1360,106,741,2200,630,530
1594,618/1180 MB,1180,1420,106,761,2360,560,480
1595,618/1320 MA,1320,1600,122,956,3150,480,400
1596,618/1500 TN,1500,1820,140,1170,4150,380,240
1597,618/1700 MB,1700,2060,160,1270,4900,300,240
